# Table EV1 from 									
# https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5327727/#msb167233-sup-0002									
ORF	Symbol	Etymology	SGDID	Note	Description	Chr	StartBp	EndBP	Chain
YHR179W	OYE2	Old Yellow Enzyme	S000001222	Respiration	"Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN); responsible for geraniol reduction into citronellol during fermentation; homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death; protein abundance increases in response to DNA replication stress"	VIII	462502	463704	+
YGR178C	PBP1		S000003410	Respiration	Component of glucose deprivation induced stress granules; involved in P-body-dependent granule assembly; similar to human ataxin-2; interacts with Pab1p to regulate mRNA polyadenylation; interacts with Mkt1p to regulate HO translation; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress	VII	851047	853215	-
YGR101W	PCP1	Processing of Cytochrome c Peroxidase	S000003333	Respiration	Mitochondrial serine protease; required for the processing of various mitochondrial proteins and maintenance of mitochondrial DNA and morphology; belongs to the rhomboid-GlpG superfamily of intramembrane peptidases	VII	693363	694403	+
YER178W	PDA1	Pyruvate Dehydrogenase Alpha	S000000980	Respiration	"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes"	V	546817	548079	+
YBR221C	PDB1	Pyruvate Dehydrogenase Beta subunit	S000000425	Respiration	E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria	II	665153	666253	-
YOR360C	PDE2	PhosphoDiEsterase	S000005887	Respiration	"High-affinity cyclic AMP phosphodiesterase; component of the cAMP-dependent protein kinase signaling system, protects the cell from extracellular cAMP, contains readthrough motif surrounding termination codon"	XV	1013241	1014821	-
YBR035C	PDX3	PyriDoXine auxotrophy	S000000239	Respiration	Pyridoxine (pyridoxamine) phosphate oxidase; has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism	II	306269	306955	-
YOR036W	PEP12	carboxyPEPtidase Y-deficient	S000005562	Respiration	"Target membrane receptor (t-SNARE); for vesicular intermediates traveling between the Golgi apparatus and the vacuole; controls entry of biosynthetic, endocytic, and retrograde traffic into the prevacuolar compartment; syntaxin"	XV	400348	401214	+
YLR148W	PEP3	carboxyPEPtidase Y-deficient	S000004138	Respiration	"Component of CORVET membrane tethering complex; vacuolar peripheral membrane protein that promotes vesicular docking/fusion reactions in conjunction with SNARE proteins, required for vacuolar biogenesis"	XII	434641	437397	+
YDR323C	PEP7	carboxyPEPtidase Y-deficient	S000002731	Respiration	"Adaptor protein involved in vesicle-mediated vacuolar protein sorting; multivalent adaptor protein; facilitates vesicle-mediated vacuolar protein sorting by ensuring high-fidelity vesicle docking and fusion, which are essential for targeting of vesicles to the endosome; required for vacuole inheritance"	IV	1112480	1114027	-
YCR044C	PER1	protein Processing in the ER	S000000640	Respiration	Protein of the endoplasmic reticulum; required for GPI-phospholipase A2 activity that remodels the GPI anchor as a prerequisite for association of GPI-anchored proteins with lipid rafts; functionally complemented by human ortholog PERLD1	III	206877	207950	-
YDR079W	PET100	PETite colonies	S000002486	Respiration	"Chaperone that facilitates the assembly of cytochrome c oxidase; integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme"	IV	603064	603399	+
YMR257C	PET111	PETite colonies	S000004870	Respiration	Mitochondrial translational activator specific for the COX2 mRNA; located in the mitochondrial inner membrane	XIII	779629	782031	-
YBL080C	PET112	PETite colonies	S000000176	Respiration	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog	II	73070	74695	-
YER058W	PET117	PETite colonies	S000000860	Respiration	"Assembly factor that couples heme a synthesis to complex IV assembly; regulates the oligomerization state of the Cox15p heme a synthase, and couples this to the assembly of the cytochrome C oxidase complex (complex IV) "	V	271768	272091	+
YER153C	PET122	PETite colonies	S000000955	Respiration	Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet494p; located in the mitochondrial inner membrane	V	474041	474805	-
YOR158W	PET123	PETite colonies	S000005684	Respiration	"Mitochondrial ribosomal protein of the small subunit; PET123 exhibits genetic interactions with PET122, which encodes a COX3 mRNA-specific translational activator"	XV	632164	633120	+
YOR017W	PET127	PETite colonies	S000005543	Respiration	Protein with a role in 5'-end processing of mitochondrial RNAs; located in the mitochondrial membrane	XV	361412	363814	+
YJL023C	PET130	PETite colonies	S000003560	Respiration	"Protein of unknown function; required for efficient 5' processing of mitochondrial tRNAs, for respiratory growth and mitochondrial genome maintenance; localizes to the matrix side of the inner mitochondrial membrane"	X	397355	398398	-
YJR034W	PET191	PETite colonies	S000003795	Respiration	Protein required for assembly of cytochrome c oxidase; exists as an oligomer; described as both an integral mitochondrial inner membrane protein facing the intermembrane space (IMS) and as a soluble IMS protein; contains a twin Cx9C motif; imported into the IMS via the MIA import machinery	X	496683	497009	+
YLR067C	PET309	PETite colonies	S000004057	Respiration	Specific translational activator for the COX1 mRNA; binds to the COX1 mRNA; also influences stability of intron-containing COX1 primary transcripts; localizes to the mitochondrial inner membrane; contains 12 pentatricopeptide repeats (PPRs)	XII	267813	270710	-
YNR045W	PET494	PETite colonies	S000005328	Respiration	Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet122p; located in the mitochondrial inner membrane	XIV	706139	707608	+
YGR222W	PET54	PETite colonies	S000003454	Respiration	Mitochondrial inner membrane protein; binds to the 5' UTR of the COX3 mRNA to activate its translation together with Pet122p and Pet494p; also binds to the COX1 Group I intron AI5 beta to facilitate exon ligation during splicing	VII	939923	940804	+
YOR201C	MRM1	Mitochondrial rRNA Methyltransferase	S000005727	Respiration	"Ribose methyltransferase; modifies a functionally critical, conserved nucleotide in mitochondrial 21S rRNA"	XV	720470	721708	-
YNL003C	PET8	PETite colonies	S000004948	Respiration	S-adenosylmethionine transporter of the mitochondrial inner membrane; member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth	XIV	624975	625829	-
YGL025C	PGD1	PolyGlutamine Domain	S000002993	Respiration	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor	VII	448764	449957	-
YDL106C	PHO2	PHOsphate metabolism	S000002264	Respiration	Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia	IV	270222	271901	-
YNL097C	PHO23	PHOsphate metabolism	S000005041	Respiration	Component of the Rpd3L histone deacetylase complex; involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus shares significant sequence identity with the human candidate tumor suppressor p33-ING1 and its isoform ING3	XIV	441366	442358	-
YFR034C	PHO4	PHOsphate metabolism	S000001930	Respiration	"Basic helix-loop-helix (bHLH) transcription factor of the myc-family; activates transcription cooperatively with Pho2p in response to phosphate limitation; binding to 'CACGTG' motif is regulated by chromatin restriction, competitive binding of Cbf1p to the same DNA binding motif and cooperation with Pho2p; function is regulated by phosphorylation at multiple sites and by phosphate availability"	VI	225020	225958	-
YOL001W	PHO80	PHOsphate metabolism	S000005361	Respiration	"Cyclin; interacts with cyclin-dependent kinase Pho85p; regulates the response to nutrient levels and environmental conditions, including the response to phosphate limitation and stress-dependent calcium signaling"	XV	325249	326130	+
YPL031C	PHO85	PHOsphate metabolism	S000005952	Respiration	Cyclin-dependent kinase; has ten cyclin partners; involved in regulating the cellular response to nutrient levels and environmental conditions and progression through the cell cycle; human lissencephaly-associated homolog CDK5 functionally complements null mutation	XVI	492018	493037	-
YJL117W	PHO86	PHOsphate metabolism	S000003653	Respiration	"Endoplasmic reticulum (ER) resident protein; required for ER exit of the high-affinity phosphate transporter Pho84p, specifically required for packaging of Pho84p into COPII vesicles; protein abundance increases in response to DNA replication stress"	X	192531	193466	+
YML061C	PIF1	Petite Integration Frequency	S000004526	Respiration	"DNA helicase, potent G-quadruplex DNA binder/unwinder; possesses strand annealing activity; promotes DNA synthesis during break-induced replication; important for crossover recombination; translation from different start sites produces mitochondrial and nuclear forms; nuclear form is a catalytic inhibitor of telomerase; mitochondrial form involved in DNA repair and recombination; mutations affect Zn, Fe homeostasis; regulated by Rad53p-dependent phosphorylation in rho0 cells"	XIII	148953	151532	-
YMR123W	PKR1	Pichia farinosa Killer toxin Resistance	S000004730	Respiration	V-ATPase assembly factor; functions with other V-ATPase assembly factors in the ER to efficiently assemble the V-ATPase membrane sector (V0); protein abundance increases in response to DNA replication stress	XIII	513593	513961	+
YDR276C	PMP3	Plasma Membrane Proteolipid	S000002684	Respiration	Small plasma membrane protein; confers resistance to amphotericin B and is a potential target of this common antifungal drug; related to a family of plant polypeptides that are overexpressed under high salt concentration or low temperature; not essential for viability; deletion causes hyperpolarization of the plasma membrane potential	IV	1013476	1013643	-
YGL167C	PMR1	Plasma Membrane ATPase Related	S000003135	Respiration	"High affinity Ca2+/Mn2+ P-type ATPase; required for Ca2+ and Mn2+ transport into Golgi; involved in Ca2+ dependent protein sorting, processing; D53A mutant (Mn2+ transporting) is rapamycin sensitive, Q783A mutant (Ca2+ transporting) is rapamycin resistant; Mn2+ transport into Golgi lumen required for rapamycin sensitivity; mutations in human homolog ATP2C1 cause acantholytic skin condition Hailey-Hailey disease; human ATP2C1 can complement yeast null mutant"	VII	187616	190468	-
YPL188W	POS5	PerOxide Sensitive	S000006109	Respiration	Mitochondrial NADH kinase; phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress	XVI	191406	192650	+
YHR026W	PPA1	Vacuolar Membrane Atpase	S000001068	Respiration	Subunit c'' of the vacuolar ATPase; v-ATPase functions in acidification of the vacuole; one of three proteolipid subunits of the V0 domain	VIII	160844	161485	+
YMR267W	PPA2	PyroPhosphatAse	S000004880	Respiration	"Mitochondrial inorganic pyrophosphatase; required for mitochondrial function and possibly involved in energy generation from inorganic pyrophosphate; human ortholog, PPA2, functionally complements the null mutant; mutations in human PPA2 cause a mitochondrial disease resulting in sudden unexpected cardiac arrest in infants"	XIII	801772	802704	+
YPL148C	PPT2	Phosphopantetheine:Protein Transferase	S000006069	Respiration	Phosphopantetheine:protein transferase (PPTase); activates mitochondrial acyl carrier protein (Acp1p) by phosphopantetheinylation	XVI	272294	272815	-
YDL006W	PTC1	Phosphatase type Two C	S000002164	Respiration	"Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p, inactivating osmosensing MAPK cascade; involved in Fus3p activation during pheromone response; deletion affects precursor tRNA splicing, mitochondrial inheritance, and sporulation"	IV	439909	440754	+
YHR189W	PTH1		S000001232	Respiration	"One of two mitochondrially-localized peptidyl-tRNA hydrolases; dispensable for respiratory growth on rich medium, but required for respiratory growth on minimal medium; see also PTH2"	VIII	484028	484600	+
YPR191W	QCR2	QH2:cytochrome-C oxidoReductase	S000006395	Respiration	"Subunit 2 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme"	XVI	919381	920487	+
YFR033C	QCR6	ubiQuinol-cytochrome C oxidoReductase	S000001929	Respiration	"Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space"	VI	224326	224769	-
YDR529C	QCR7	ubiQuinol-cytochrome C oxidoReductase	S000002937	Respiration	Subunit 7 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly	IV	1496165	1496548	-
YJL166W	QCR8	ubiQuinol-cytochrome C oxidoReductase	S000003702	Respiration	Subunit 8 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the intermembrane space; expression is regulated by Abf1p and Cpf1p	X	106434	106718	+
YGR183C	QCR9	ubiQuinol-cytochrome C oxidoReductase	S000003415	Respiration	Subunit 9 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; required for electron transfer at the ubiquinol oxidase site of the complex	VII	859063	859476	-
YLR204W	QRI5		S000004194	Respiration	Mitochondrial inner membrane protein; required for accumulation of spliced COX1 mRNA; may have an additional role in translation of COX1 mRNA	XII	552270	552605	+
YDL104C	QRI7		S000002262	Respiration	"Protein involved in threonylcarbamoyl adenosine biosynthesis; Sua5p and Qri7p are necessary and sufficient for RNA t6A modification in vitro; highly conserved mitochondrial protein; essential for t6A modification of mitochondrial tRNAs that decode ANN codons; similar to Kae1p and E. coli YgjD, both of which are also required for tRNA t6A modification; when directed to the cytoplasm, complements the essential function of Kae1p in the KEOPS complex"	IV	273653	274876	-
YJR033C	RAV1	Regulator of (H+)-ATPase in Vacuolar membrane	S000003794	Respiration	"Subunit of RAVE complex (Rav1p, Rav2p, Skp1p); the RAVE complex promotes assembly of the V-ATPase holoenzyme; required for transport between the early and late endosome/PVC and for localization of TGN membrane proteins; potential Cdc28p substrate"	X	492378	496451	-
YML030W	RCF1		S000004492	Respiration	"Cytochrome c oxidase subunit; required for assembly of the Complex III-Complex IV supercomplex, and for assembly of Cox13p and Rcf2p into cytochrome c oxidase; similar to Rcf2p, and either Rcf1p or Rcf2p is required for late-stage assembly of the Cox12p and Cox13p subunits and for cytochrome c oxidase activity; required for growth under hypoxic conditions; member of the hypoxia induced gene family; C. elegans and human orthologs are functional in yeast"	XIII	216435	216914	+
YNR018W	RCF2		S000005301	Respiration	"Cytochrome c oxidase subunit; has a role in assembly of respiratory supercomplexes; similar to Rcf1p, and either Rcf1p or Rcf2p is required for late-stage assembly of the Cox12p and Cox13p subunits and for cytochrome c oxidase activity; associates with the cytochrome c oxidase - cytochrome bc1 supercomplex; null mutant accumulates reactive oxygen species; member of the conserved hypoxia induced gene family; C. elegans homolog is functional in yeast"	XIV	664270	664944	+
YGL071W	RCS1	Activator of Ferrous Transport	S000003039	Respiration	"Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"	VII	372012	374084	+
YDR195W	REF2	RNA End Formation	S000002603	Respiration	"RNA-binding protein; involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes; putative regulatory subunit of type 1 protein phosphatase Glc7p, required for actomyosin ring formation, and for timely dephosphorylation and release of Bnr1p from the division site; relocalizes to the cytosol in response to hypoxia"	IV	848599	850200	+
YLR059C	REX2	Rna EXonuclease	S000004049	Respiration	"3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease"	XII	259738	260547	-
YPL066W	RGL1	Rho1 GEF Localizing	S000005987	Respiration	"Regulator of Rho1p signaling, cofactor of Tus1p; required for the localization of Tus1p during all phases of cytokinesis; green fluorescent protein (GFP)-fusion protein localizes to the bud neck and cytoplasm; null mutant is viable and exhibits growth defect on a non-fermentable (respiratory) carbon source"	XVI	426233	427672	+
YBL033C	RIB1	RIBoflavin biosynthesis	S000000129	Respiration	GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway	II	158656	159693	-
YLR039C	RIC1	RIbosome Control	S000004029	Respiration	Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes	XII	225426	228596	-
YCR028C-A	RIM1	Replication In Mitochondria	S000007222	Respiration	ssDNA-binding protein essential for mitochondrial genome maintenance; involved in mitochondrial DNA replication; stimulates utilization by Mip1p DNA polymerase of RNA primers synthesized by Rpo41p	III	172950	173440	-
YMR063W	RIM9	Regulator of IME2	S000004667	Respiration	Plasma membrane protein of unknown function; involved in the proteolytic activation of Rim101p in response to alkaline pH; interacts with Rim21p and Dfg16p to form a pH-sensing complex in the Rim101 pathway and is required to maintain Rim21p levels; has similarity to A. nidulans PalI;	XIII	397077	397796	+
YEL024W	RIP1	Rieske Iron-sulfur Protein	S000000750	Respiration	"Ubiquinol-cytochrome-c reductase; a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex; transfers electrons from ubiquinol to cytochrome c1 during respiration; during import, Rip1p is first imported into the mitochondrial matrix where it is processed, acquires its Fe-S cluster, and is folded, then is translocated into the inner membrane by the action of a homo-oligomer of Bcs1p, and finally is delivered by Bcs1p to Complex III for assembly"	V	107260	107907	+
YGL107C	RMD9		S000003075	Respiration	"Mitochondrial protein required for respiratory growth; mutant phenotype and genetic interactions suggest a role in delivering mt mRNAs to ribosomes; located on matrix face of the inner membrane and loosely associated with mitoribosomes; RMD9 has a paralog, YBR238C, that arose from the whole genome duplication"	VII	304333	306273	-
YEL050C	RML2	Ribosomal Mitochondrial Large	S000000776	Respiration	"Mitochondrial ribosomal protein of the large subunit (L2); has similarity to E. coli L2 ribosomal protein; mutant allele (fat21) causes inability to utilize oleate, and induce oleic acid oxidation; may interfere with activity of the Adr1p transcription factor"	V	59670	60851	-
YGL250W	RMR1		S000003219	Respiration	Protein required for meiotic recombination and gene conversion; null mutant displays reduced PIS1 expression and growth defects on non-fermentable carbon sources and minimal media; GFP-fusion protein localizes to both cytoplasm and nucleus	VII	31910	32635	+
YGR180C	RNR4	RiboNucleotide Reductase	S000003412	Respiration	"Ribonucleotide-diphosphate reductase (RNR) small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits; relocalizes from nucleus to cytoplasm upon DNA replication stress; RNR4 has a paralog, RNR2, that arose from the whole genome duplication"	VII	855264	856301	-
YBL093C	ROX3	Regulation by OXygen	S000000189	Respiration	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme	II	44256	44918	-
YJL121C	RPE1	Ribulose 5-Phosphate Epimerase	S000003657	Respiration	D-ribulose-5-phosphate 3-epimerase; catalyzes a reaction in the non-oxidative part of the pentose-phosphate pathway; mutants are sensitive to oxidative stress	X	190374	191090	-
YGL135W	RPL1B	Ribosomal Protein of the Large subunit	S000003103	Respiration	"Ribosomal 60S subunit protein L1B; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1B has a paralog, RPL1A, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal"	VII	254641	255294	+
YFL036W	RPO41	RNA POlymerase	S000001858	Respiration	"Mitochondrial RNA polymerase; single subunit enzyme similar to those of T3 and T7 bacteriophages; requires a specificity subunit encoded by MTF1 for promoter recognition; Mtf1p interacts with and stabilizes the Rpo41p-promoter complex, enhancing DNA bending and melting to facilitate pre-initiation open complex formation; Rpo41p also synthesizes RNA primers for mitochondrial DNA replication"	VI	58782	62837	+
YDR065W	RRG1	Required for Respiratory Growth	S000002472	Respiration	"Protein of unknown function; required for efficient 5' processing of mitochondrial tRNAs, for respiratory growth and mitochondrial genome maintenance; required for vacuolar acidification; localizes to the matrix side of the inner mitochondrial membrane"	IV	580687	581784	+
YOR305W	RRG7	Required for Respiratory Growth	S000005832	Respiration	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO); YOR305W is not an essential gene	XV	889022	889750	+
YPR116W	RRG8		S000006320	Respiration	"Protein of unknown function; required for efficient 5' processing of mitochondrial tRNAs, for respiratory growth and mitochondrial genome maintenance; null mutation results in a decrease in plasma membrane electron transport; localizes to the matrix side of the inner mitochondrial membrane"	XVI	758648	759481	+
YNL213C	RRG9		S000005157	Respiration	"Protein of unknown function; null mutant lacks mitochondrial DNA and cannot grow on glycerol; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	XIV	246460	247104	-
YLR357W	RSC2	Remodel the Structure of Chromatin	S000004349	Respiration	"Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; involved in telomere maintenance; RSC2 has a paralog, RSC1, that arose from the whole genome duplication"	XII	841331	844000	+
YER050C	RSM18	Ribosomal Small subunit of Mitochondria	S000000852	Respiration	Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S18 ribosomal protein	V	253971	254387	-
YNR037C	RSM19	Ribosomal Small subunit of Mitochondria	S000005320	Respiration	Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S19 ribosomal protein	XIV	695052	695327	-
YKL155C	RSM22	Ribosomal Small subunit of Mitochondria	S000001638	Respiration	Mitochondrial ribosomal protein of the small subunit; also predicted to be an S-adenosylmethionine-dependent RNA methyltransferase	XI	159456	161342	-
YGL129C	RSM23	Ribosomal Small subunit of Mitochondria	S000003097	Respiration	Mitochondrial ribosomal protein of the small subunit; has similarity to mammalian apoptosis mediator proteins; null mutation prevents induction of apoptosis by overproduction of metacaspase Mca1p	VII	267723	269075	-
YDR175C	RSM24	Ribosomal Small subunit of Mitochondria	S000002582	Respiration	Mitochondrial ribosomal protein of the small subunit	IV	813193	814152	-
YIL093C	RSM25	Ribosomal Small subunit of Mitochondria	S000001355	Respiration	Mitochondrial ribosomal protein of the small subunit	IX	187990	188784	-
YGR215W	RSM27	Ribosomal Small subunit of Mitochondria	S000003447	Respiration	Mitochondrial ribosomal protein of the small subunit	VII	922175	922507	+
YDR494W	RSM28	Ribosomal Small subunit of Mitochondria	S000002902	Respiration	Mitochondrial ribosomal protein of the small subunit; genetic interactions suggest a possible role in promoting translation initiation	IV	1436930	1438015	+
YJR113C	RSM7	Ribosomal Small subunit of Mitochondria	S000003874	Respiration	Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S7 ribosomal protein	X	638232	638975	-
YPL183W-A	RTC6	Restriction of Telomere Capping	S000007224	Respiration	"Protein involved in translation; mutants have defects in biogenesis of nuclear ribosomes; sequence similar to prokaryotic ribosomal protein L36, may be a mitochondrial ribosomal protein; protein abundance increases in response to DNA replication stress"	XVI	199095	199376	+
YOR014W	RTS1	Rox Three Suppressor	S000005540	Respiration	"B-type regulatory subunit of protein phosphatase 2A (PP2A); Rts1p and Cdc55p are alternative regulatory subunits for PP2A catalytic subunits, Pph21p and Pph22p; PP2A-Rts1p protects cohesin when recruited by Sgo1p to the pericentromere; highly enriched at centromeres in the absence of Cdc55p; required for maintenance of septin ring organization during cytokinesis, for ring disassembly in G1 and for dephosphorylation of septin, Shs1p; homolog of the mammalian B' subunit of PP2A"	XV	357674	359947	+
YCR009C	RVS161	Reduced Viability on Starvation	S000000602	Respiration	"Amphiphysin-like lipid raft protein; N-BAR domain protein that interacts with Rvs167p and regulates polarization of the actin cytoskeleton, endocytosis, cell polarity, cell fusion and viability following starvation or osmotic stress"	III	130745	131542	-
YDR388W	RVS167	Reduced Viability on Starvation	S000002796	Respiration	"Calmodulin-binding actin-associated protein; roles in endocytic membrane tabulation and constriction, and exocytosis; N-BAR domain protein that interacts with Rvs161p to regulate actin cytoskeleton, endocytosis, and viability following starvation or osmotic stress; recruited to bud tips by Gyl1p and Gyp5p during polarized growth; homolog of mammalian amphiphysin"	IV	1250186	1251634	+
YDR484W	SAC2	Vacuolar Protein Sorting	S000002892	Respiration	"Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; involved in localization of actin and chitin; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p"	IV	1422763	1424688	+
YDR129C	SAC6		S000002536	Respiration	"Fimbrin, actin-bundling protein; cooperates with Scp1p in organization and maintenance of the actin cytoskeleton; phosphorylated by Cdc28p/Clb2p in metaphase on T103, to regulate conformation, and modulate actin filament binding affinity and actin cable dynamics; relocalizes from the plasma membrane to the cytoplasm upon DNA replication stress; human homologs PLS3 and LCP1 implicated in spinocerebellar ataxia type 2 (SCA2) can each complement yeast null mutant"	IV	713340	715379	-
YMR263W	SAP30	Sin3-Associated Polypeptide	S000004876	Respiration	"Component of Rpd3L histone deacetylase complex; involved in silencing at telomeres, rDNA, and silent mating-type loci; involved in telomere maintenance"	XIII	794919	795524	+
YBR037C	SCO1	Suppressor of Cytochrome Oxidase deficiency	S000000241	Respiration	"Copper-binding protein of mitochondrial inner membrane; required for cytochrome c oxidase activity and respiration; may function to deliver copper to cytochrome c oxidase; similar to thioredoxins; SCO1 has a paralog, SCO2, that arose from the whole genome duplication"	II	310565	311452	-
YKL148C	SDH1	Succinate DeHydrogenase	S000001631	Respiration	Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome	XI	169207	171129	-
YLL041C	SDH2	Succinate DeHydrogenase	S000003964	Respiration	"Iron-sulfur protein subunit of succinate dehydrogenase; the complex couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; other members are Sdh1p, Sdh3p, and Sdh4p"	XII	53131	53931	-
YDR178W	SDH4	Succinate DeHydrogenase	S000002585	Respiration	"Membrane anchor subunit of succinate dehydrogenase (SDH); involved in coupling the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; has similarity to human SDH subunit D (SDHD), which is implicated in paraganglioma"	IV	817950	818495	+
YOL071W	SDH5		S000005432	Respiration	"Protein required for flavinylation of Sdh1p; binds to Sdh1p and promotes FAD cofactor attachment, which is necessary for succinate dehydrogenase (SDH) complex assembly and activity; mutations in human ortholog PGL2 are associated with neuroendocrine tumors (paraganglioma)"	XV	196507	196995	+
YDR511W	SDH7	Succinate DeHydrogenase	S000002919	Respiration	Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; localized to the mitochondrial intermembrane space; required for acetate utilization and gluconeogenesis; mutation in Drosophila ortholog SDHAF3 causes reduced succinate dehydrogenase activity and neuronal and muscular dysfunction; member of the LYR protein family	IV	1470017	1470418	+
YBR269C	SDH8	Succinate DeHydrogenase	S000000473	Respiration	"Protein required for assembly of succinate dehydrogenase; interacts with flavinylated Sdh1p and may function as a chaperone for free Sdh1p, protecting its FAD cofactor from redox reactions before assembly of the complex; soluble protein of the mitochondrial matrix; respiratory defect of null mutant is functionally complemented by Drosophila and human orthologs"	II	742160	742576	-
YLR268W	SEC22	SECretory	S000004258	Respiration	"R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog"	XII	680200	680844	+
YDR393W	SHE9	Sensitivity to High Expression	S000002801	Respiration	Protein required for normal mitochondrial morphology; mitochondrial inner membrane protein; may be involved in fission of the inner membrane; forms a homo-oligomeric complex	IV	1259901	1261271	+
